
Nombre de imagen               PID Nombre de sesi¢n N£m. de ses Uso de memor Estado          Nombre de usuario                                  Tiempo de CP T¡tulo de ventana                                                       
========================= ======== ================ =========== ============ =============== ================================================== ============ ========================================================================
System Idle Process              0 Services                   0         8 KB Unknown         NT AUTHORITY\SYSTEM                                    23:30:26 N/D                                                                     
RuntimeBroker.exe             6296 Console                    3     6.204 KB Unknown         REFUGIOINTERIOR\sepla                                   0:00:00 N/D                                                                     
cmd.exe                      12096 Console                    3     5.204 KB Running         REFUGIOINTERIOR\sepla                                   0:00:00 S¡mbolo del sistema - java  tasklist procesos.txt                       
conhost.exe                   2116 Console                    3    14.724 KB Running         REFUGIOINTERIOR\sepla                                   0:00:01 N/D                                                                     
ubuntu1804.exe               11368 Console                    3     6.952 KB Running         REFUGIOINTERIOR\sepla                                   0:00:00 seplarui@REFUGIOINTERIOR: ~                                             
conhost.exe                   8820 Console                    3    19.208 KB Running         REFUGIOINTERIOR\sepla                                   0:00:06 MCI command handling window                                             
svchost.exe                   4976 Services                   0    10.212 KB Unknown         N/D                                                     0:00:00 N/D                                                                     
wsl.exe                       7028 Console                    3     5.384 KB Unknown         REFUGIOINTERIOR\sepla                                   0:00:00 N/D                                                                     
init                          5128 Console                    3       152 KB Unknown         REFUGIOINTERIOR\sepla                                   0:00:00 N/D                                                                     
init                          5256 Console                    3       152 KB Unknown         REFUGIOINTERIOR\sepla                                   0:00:00 N/D                                                                     
wslhost.exe                   3932 Console                    3     4.844 KB Running         REFUGIOINTERIOR\sepla                                   0:00:00 C:\WINDOWS\System32\lxss\wslhost.exe                                    
bash                          1180 Console                    3     3.820 KB Unknown         REFUGIOINTERIOR\sepla                                   0:00:00 N/D                                                                     
conhost.exe                  10512 Console                    3    12.844 KB Unknown         REFUGIOINTERIOR\sepla                                   0:00:00 N/D                                                                     
chrome.exe                   10768 Console                    3    60.944 KB Unknown         REFUGIOINTERIOR\sepla                                   0:00:00 N/D                                                                     
Calculator.exe                4552 Console                    3    60.152 KB Running         REFUGIOINTERIOR\sepla                                   0:00:00 CicMarshalWnd                                                           
WinStore.App.exe              5944 Console                    3    34.660 KB Running         REFUGIOINTERIOR\sepla                                   0:00:02 Microsoft Store                                                         
RuntimeBroker.exe             6836 Console                    3    21.820 KB Unknown         REFUGIOINTERIOR\sepla                                   0:00:00 N/D                                                                     
chrome.exe                    1168 Console                    3    32.936 KB Unknown         REFUGIOINTERIOR\sepla                                   0:00:00 N/D                                                                     
chrome.exe                   10660 Console                    3    32.368 KB Unknown         REFUGIOINTERIOR\sepla                                   0:00:00 N/D                                                                     
chrome.exe                    8324 Console                    3    21.676 KB Unknown         REFUGIOINTERIOR\sepla                                   0:00:00 N/D                                                                     
svchost.exe                   1060 Services                   0     7.220 KB Unknown         N/D                                                     0:00:00 N/D                                                                     
RuntimeBroker.exe             4420 Console                    3    21.020 KB Running         REFUGIOINTERIOR\sepla                                   0:00:00 OleMainThreadWndName                                                    
java.exe                      9960 Console                    3    20.180 KB Unknown         REFUGIOINTERIOR\sepla                                   0:00:00 N/D                                                                     
tasklist.exe                  9952 Console                    3     8.768 KB Unknown         REFUGIOINTERIOR\sepla                                   0:00:00 N/D                                                                     
conhost.exe                  10856 Console                    3    10.776 KB Unknown         REFUGIOINTERIOR\sepla                                   0:00:00 N/D                                                                     
WmiPrvSE.exe                  6048 Services                   0     8.540 KB Unknown         N/D                                                     0:00:00 N/D                                                                     
